№,Символ,Кільк.,Імовірність,%
406,ПО,123,0.01065,1.06549
407,ПП,3,0.00026,0.02599
408,ПР,91,0.00788,0.78829
409,ПУ,13,0.00113,0.11261
410,ПЦ,1,9.0e-05,0.00866
411,ПЯ,1,9.0e-05,0.00866
412,РІ,45,0.0039,0.38981
413,РА,87,0.00754,0.75364
414,РБ,4,0.00035,0.03465
415,РВ,8,0.00069,0.0693
416,РГ,2,0.00017,0.01733
417,РД,5,0.00043,0.04331
418,РЕ,118,0.01022,1.02218
419,РЖ,1,9.0e-05,0.00866
420,РЗ,1,9.0e-05,0.00866
421,РИ,122,0.01057,1.05683
422,РК,15,0.0013,0.12994
423,РЛ,1,9.0e-05,0.00866
424,РМ,23,0.00199,0.19924
425,РН,16,0.00139,0.1386
426,РО,100,0.00866,0.86625
427,РП,4,0.00035,0.03465
428,РР,2,0.00017,0.01733
429,РС,4,0.00035,0.03465
430,РТ,20,0.00173,0.17325
431,РУ,18,0.00156,0.15593
432,РФ,13,0.00113,0.11261
433,РХ,1,9.0e-05,0.00866
434,РШ,7,0.00061,0.06064
435,РЯ,16,0.00139,0.1386
436,Р№,3,0.00026,0.02599
437,СІ,17,0.00147,0.14726
438,СА,39,0.00338,0.33784
439,СБ,1,9.0e-05,0.00866
440,СВ,5,0.00043,0.04331
441,СД,1,9.0e-05,0.00866
442,СЕ,7,0.00061,0.06064
443,СЗ,2,0.00017,0.01733
444,СИ,23,0.00199,0.19924
445,СК,20,0.00173,0.17325
446,СЛ,28,0.00243,0.24255
447,СМ,2,0.00017,0.01733
448,СН,13,0.00113,0.11261
449,СО,14,0.00121,0.12128
450,СП,4,0.00035,0.03465
451,СТ,142,0.0123,1.23008
452,СУ,16,0.00139,0.1386
453,СЦ,1,9.0e-05,0.00866
454,СЬ,6,0.00052,0.05198
455,СЯ,28,0.00243,0.24255
456,ТІ,35,0.00303,0.30319
457,ТА,82,0.0071,0.71033
458,ТБ,7,0.00061,0.06064
459,ТВ,6,0.00052,0.05198
460,ТГ,1,9.0e-05,0.00866
461,ТД,1,9.0e-05,0.00866
462,ТЕ,52,0.0045,0.45045
463,ТЗ,4,0.00035,0.03465
464,ТИ,114,0.00988,0.98753
465,ТК,23,0.00199,0.19924
466,ТМ,4,0.00035,0.03465
467,ТН,21,0.00182,0.18191
468,ТО,130,0.01126,1.12613
469,ТП,12,0.00104,0.10395
470,ТР,54,0.00468,0.46778
471,ТС,2,0.00017,0.01733
472,ТТ,9,0.00078,0.07796
473,ТУ,54,0.00468,0.46778
474,ТФ,1,9.0e-05,0.00866
475,ТЩ,1,9.0e-05,0.00866
476,ТЬ,68,0.00589,0.58905
