№,Символ,Кільк.,Імовірність,%
238,ЙЯ,1,0.00025,0.02521
239,КІ,13,0.00328,0.32779
240,КЇ,1,0.00025,0.02521
241,КА,20,0.00504,0.50429
242,КБ,4,0.00101,0.10086
243,КВ,4,0.00101,0.10086
244,КГ,1,0.00025,0.02521
245,КД,2,0.0005,0.05043
246,КЕ,3,0.00076,0.07564
247,КЖ,4,0.00101,0.10086
248,КЗ,2,0.0005,0.05043
249,КИ,19,0.00479,0.47907
250,КН,7,0.00177,0.1765
251,КО,48,0.0121,1.21029
252,КП,3,0.00076,0.07564
253,КР,21,0.0053,0.5295
254,КТ,2,0.0005,0.05043
255,КУ,20,0.00504,0.50429
256,КЦ,1,0.00025,0.02521
257,КЯ,2,0.0005,0.05043
258,ЛІ,30,0.00756,0.75643
259,ЛА,60,0.01513,1.51286
260,ЛЕ,16,0.00403,0.40343
261,ЛИ,34,0.00857,0.85729
262,ЛК,2,0.0005,0.05043
263,ЛО,31,0.00782,0.78164
264,ЛУ,2,0.0005,0.05043
265,ЛЬ,13,0.00328,0.32779
266,ЛЮ,5,0.00126,0.12607
267,ЛЯ,12,0.00303,0.30257
268,МІ,8,0.00202,0.20171
269,МА,20,0.00504,0.50429
270,МБ,2,0.0005,0.05043
271,МВ,3,0.00076,0.07564
272,МД,2,0.0005,0.05043
273,МЕ,5,0.00126,0.12607
274,МЗ,3,0.00076,0.07564
275,МИ,12,0.00303,0.30257
276,МЛ,1,0.00025,0.02521
277,МН,7,0.00177,0.1765
278,МО,15,0.00378,0.37821
279,МП,2,0.0005,0.05043
280,МР,1,0.00025,0.02521
281,МС,2,0.0005,0.05043
282,МТ,2,0.0005,0.05043
283,МУ,10,0.00252,0.25214
284,МЧ,1,0.00025,0.02521
285,НІ,22,0.00555,0.55472
286,НА,55,0.01387,1.38679
287,НБ,1,0.00025,0.02521
288,НГ,1,0.00025,0.02521
289,НД,2,0.0005,0.05043
290,НЕ,36,0.00908,0.90772
291,НИ,33,0.00832,0.83207
292,НК,2,0.0005,0.05043
293,НН,12,0.00303,0.30257
294,НО,34,0.00857,0.85729
295,НП,1,0.00025,0.02521
296,НС,2,0.0005,0.05043
297,НТ,2,0.0005,0.05043
298,НУ,24,0.00605,0.60514
299,НЧ,2,0.0005,0.05043
300,НЬ,11,0.00277,0.27736
301,НЮ,2,0.0005,0.05043
302,НЯ,8,0.00202,0.20171
303,ОЄ,1,0.00025,0.02521
304,ОЇ,3,0.00076,0.07564
305,ОА,2,0.0005,0.05043
306,ОБ,20,0.00504,0.50429
307,ОВ,41,0.01034,1.03379
308,ОГ,21,0.0053,0.5295
309,ОД,36,0.00908,0.90772
310,ОЖ,7,0.00177,0.1765
311,ОЗ,14,0.00353,0.353
312,ОЙ,5,0.00126,0.12607
313,ОК,16,0.00403,0.40343
314,ОЛ,38,0.00958,0.95814
315,ОМ,28,0.00706,0.706
316,ОН,27,0.00681,0.68079
317,ОП,17,0.00429,0.42864
318,ОР,17,0.00429,0.42864
319,ОС,26,0.00656,0.65557
320,ОТ,34,0.00857,0.85729
321,ОУ,2,0.0005,0.05043
322,ОХ,6,0.00151,0.15129
323,ОЦ,3,0.00076,0.07564
324,ОЧ,14,0.00353,0.353
325,ОШ,1,0.00025,0.02521
326,ОЩ,3,0.00076,0.07564
327,ОЮ,13,0.00328,0.32779
328,ОЯ,5,0.00126,0.12607
329,ПІ,16,0.00403,0.40343
330,ПА,8,0.00202,0.20171
331,ПД,1,0.00025,0.02521
332,ПЕ,6,0.00151,0.15129
333,ПИ,17,0.00429,0.42864
334,ПК,1,0.00025,0.02521
335,ПЛ,3,0.00076,0.07564
336,ПО,34,0.00857,0.85729
337,ПР,22,0.00555,0.55472
338,ПТ,1,0.00025,0.02521
339,РІ,11,0.00277,0.27736
340,РА,23,0.0058,0.57993
341,РВ,2,0.0005,0.05043
342,РГ,1,0.00025,0.02521
343,РЕ,12,0.00303,0.30257
344,РИ,13,0.00328,0.32779
345,РЙ,1,0.00025,0.02521
346,РК,5,0.00126,0.12607
347,РН,5,0.00126,0.12607
348,РО,54,0.01362,1.36157
349,РП,1,0.00025,0.02521
350,РС,1,0.00025,0.02521
351,РТ,3,0.00076,0.07564
352,РУ,5,0.00126,0.12607
353,РЧ,1,0.00025,0.02521
354,РШ,1,0.00025,0.02521
355,РЯ,3,0.00076,0.07564
356,СІ,4,0.00101,0.10086
357,СА,21,0.0053,0.5295
358,СВ,2,0.0005,0.05043
359,СЕ,8,0.00202,0.20171
360,СИ,7,0.00177,0.1765
361,СК,5,0.00126,0.12607
362,СЛ,7,0.00177,0.1765
363,СМ,1,0.00025,0.02521
364,СН,6,0.00151,0.15129
365,СО,8,0.00202,0.20171
366,СП,6,0.00151,0.15129
367,СТ,20,0.00504,0.50429
368,СУ,7,0.00177,0.1765
369,СХ,4,0.00101,0.10086
370,СЬ,15,0.00378,0.37821
371,СЯ,34,0.00857,0.85729
372,ТІ,18,0.00454,0.45386
373,ТА,43,0.01084,1.08422
374,ТБ,1,0.00025,0.02521
375,ТЕ,7,0.00177,0.1765
376,ТЗ,1,0.00025,0.02521
377,ТИ,52,0.01311,1.31114
378,ТЛ,2,0.0005,0.05043
379,ТМ,1,0.00025,0.02521
380,ТО,19,0.00479,0.47907
381,ТП,1,0.00025,0.02521
382,ТР,12,0.00303,0.30257
383,ТУ,8,0.00202,0.20171
384,ТХ,1,0.00025,0.02521
385,ТЬ,21,0.0053,0.5295
386,ТЯ,4,0.00101,0.10086
387,УЄ,2,0.0005,0.05043
388,УІ,1,0.00025,0.02521
389,УА,2,0.0005,0.05043
390,УБ,3,0.00076,0.07564
391,УВ,21,0.0053,0.5295
392,УГ,1,0.00025,0.02521
393,УД,14,0.00353,0.353
394,УЖ,2,0.0005,0.05043
395,УЗ,5,0.00126,0.12607
396,УЙ,2,0.0005,0.05043
397,УК,5,0.00126,0.12607
398,УЛ,26,0.00656,0.65557
399,УМ,10,0.00252,0.25214
400,УН,13,0.00328,0.32779
401,УП,8,0.00202,0.20171
402,УР,4,0.00101,0.10086
403,УС,5,0.00126,0.12607
404,УТ,15,0.00378,0.37821
405,УХ,4,0.00101,0.10086
406,УЧ,3,0.00076,0.07564
407,УШ,2,0.0005,0.05043
408,УЩ,1,0.00025,0.02521
409,УЮ,3,0.00076,0.07564
410,УЯ,5,0.00126,0.12607
411,ХА,2,0.0005,0.05043
412,ХБ,2,0.0005,0.05043
413,ХВ,3,0.00076,0.07564
414,ХД,1,0.00025,0.02521
415,ХИ,4,0.00101,0.10086
416,ХМ,2,0.0005,0.05043
417,ХН,3,0.00076,0.07564
418,ХО,14,0.00353,0.353
419,ХП,2,0.0005,0.05043
420,ХТ,2,0.0005,0.05043
421,ХУ,2,0.0005,0.05043
422,ЦІ,5,0.00126,0.12607
423,ЦЕ,8,0.00202,0.20171
424,ЦИ,1,0.00025,0.02521
425,ЦЬ,4,0.00101,0.10086
426,ЦЮ,1,0.00025,0.02521
427,ЧІ,3,0.00076,0.07564
428,ЧА,9,0.00227,0.22693
429,ЧБ,1,0.00025,0.02521
